               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095025,             0.13769,           0.0067676,             0.79672,             0.40503,             0.35818,             0.12329,            0.070482,             0.16097,           0.0020274,            0.070211,           0.0033099,           0.0033099
                   1,            0.078107,               0.135,           0.0019723,             0.82659,             0.40583,             0.41064,             0.16426,            0.054522,              0.1612,           0.0023914,            0.040146,           0.0065774,           0.0065774
                   2,            0.073899,             0.13486,           0.0020544,             0.88447,             0.42757,             0.45298,             0.18515,            0.058318,             0.17415,           0.0025745,            0.010014,            0.009779,            0.009779
                   3,            0.065413,             0.12934,           0.0017083,             0.59278,             0.65264,              0.5834,             0.29076,            0.043421,             0.14129,           0.0015293,            0.009703,            0.009703,            0.009703
                   4,            0.059394,              0.1242,           0.0013131,             0.65645,             0.67744,              0.6277,             0.31793,            0.039027,             0.13754,           0.0013246,            0.009703,            0.009703,            0.009703
                   5,            0.055672,             0.12022,           0.0011372,             0.72444,              0.6759,             0.64946,             0.34563,            0.037897,             0.13411,           0.0012962,            0.009604,            0.009604,            0.009604
                   6,            0.053826,             0.11778,          0.00099869,              0.7872,             0.66158,             0.65709,             0.36467,            0.036301,             0.12949,           0.0012956,            0.009505,            0.009505,            0.009505
                   7,             0.05157,             0.11476,          0.00091825,             0.77433,             0.70532,             0.68744,             0.37677,            0.035431,             0.13314,           0.0010171,            0.009406,            0.009406,            0.009406
                   8,             0.05041,             0.11346,           0.0008661,             0.84553,             0.71617,              0.7238,             0.41265,            0.032905,             0.12173,           0.0011033,            0.009307,            0.009307,            0.009307
                   9,              0.0496,             0.11172,          0.00082077,             0.79913,             0.67167,             0.69011,              0.3662,            0.038222,             0.14348,           0.0010739,            0.009208,            0.009208,            0.009208
                  10,            0.048385,             0.10997,          0.00075849,             0.76738,             0.64481,              0.6455,             0.37663,            0.032085,             0.12429,          0.00092544,            0.009109,            0.009109,            0.009109
                  11,            0.047636,             0.10877,          0.00070726,             0.78259,              0.7266,             0.71779,             0.41881,            0.031306,             0.11975,          0.00079062,             0.00901,             0.00901,             0.00901
                  12,            0.046924,              0.1074,          0.00068355,             0.79819,             0.72246,             0.74517,             0.42789,            0.034033,             0.13185,          0.00095907,            0.008911,            0.008911,            0.008911
                  13,            0.046525,             0.10673,          0.00065145,             0.70954,             0.71535,             0.70284,             0.32368,            0.044268,             0.15361,          0.00092308,            0.008812,            0.008812,            0.008812
                  14,            0.045633,             0.10449,          0.00062919,              0.7904,             0.70177,             0.71845,             0.39042,            0.035641,             0.13707,          0.00077565,            0.008713,            0.008713,            0.008713
                  15,            0.044856,              0.1039,          0.00059507,             0.80146,             0.69721,             0.71154,             0.40537,            0.034881,             0.13859,          0.00075037,            0.008614,            0.008614,            0.008614
                  16,            0.044587,             0.10349,          0.00056791,             0.78454,              0.7057,              0.7278,             0.40662,            0.036013,             0.13533,          0.00083345,            0.008515,            0.008515,            0.008515
                  17,            0.044023,             0.10219,          0.00056142,             0.89689,             0.73572,             0.77684,             0.43949,            0.034199,              0.1302,          0.00070424,            0.008416,            0.008416,            0.008416
                  18,            0.043603,             0.10168,          0.00052541,             0.83185,             0.69201,             0.73245,             0.39376,            0.037818,             0.14472,          0.00084243,            0.008317,            0.008317,            0.008317
                  19,            0.043009,              0.1004,           0.0005195,             0.82764,             0.70806,             0.74921,             0.37412,            0.042014,              0.1523,          0.00061882,            0.008218,            0.008218,            0.008218
                  20,             0.04273,            0.099064,            0.000492,             0.84197,             0.68169,             0.73098,             0.38446,            0.038832,             0.14675,          0.00067719,            0.008119,            0.008119,            0.008119
                  21,            0.042084,            0.098805,          0.00050871,              0.8232,             0.71388,             0.75186,             0.39722,            0.038659,             0.14021,          0.00058807,             0.00802,             0.00802,             0.00802
                  22,            0.041891,            0.097286,          0.00046303,             0.80878,             0.71734,             0.75629,             0.41794,            0.038394,             0.14186,          0.00060435,            0.007921,            0.007921,            0.007921
                  23,            0.041421,            0.097061,          0.00047891,             0.72715,             0.70671,             0.72888,             0.33158,            0.044277,             0.16151,          0.00064236,            0.007822,            0.007822,            0.007822
                  24,            0.041174,            0.096863,           0.0004515,             0.82115,              0.7223,             0.74747,             0.35223,            0.047391,             0.16977,          0.00074457,            0.007723,            0.007723,            0.007723
                  25,            0.040515,            0.094797,          0.00042986,              0.6976,             0.65577,             0.67176,             0.30138,            0.046691,             0.17883,          0.00058076,            0.007624,            0.007624,            0.007624
                  26,            0.041197,            0.095129,          0.00042226,             0.70993,             0.66472,             0.68315,             0.35646,            0.039917,             0.15897,          0.00062246,            0.007525,            0.007525,            0.007525
                  27,            0.039939,            0.094124,          0.00042406,             0.74527,             0.70191,             0.70538,             0.30666,            0.048101,             0.18093,          0.00056838,            0.007426,            0.007426,            0.007426
                  28,            0.040142,             0.09319,          0.00041127,             0.87131,             0.72924,             0.79078,             0.42867,            0.037613,             0.14272,          0.00046853,            0.007327,            0.007327,            0.007327
